Gene_name,ID
DCN,1214
DCP1A,1215
DCP1B,1216
DCPS,1217
DCTN1,1218
DCTN2,1219
DCTN3,1220
DCTN4,1221
DCTN5,1222
DCTPP1,1223
DCUN1D1,1224
DCX,1225
DCXR,1226
DDA1,1227
DDAH1,1228
DDAH2,1229
DDB1,1230
DDHD1,1231
DDHD2,1232
DDN,1233
DDOST,1234
DDR1,1235
DDX1,1236
DDX17,1237
DDX18,1238
DDX19A,1239
DDX19B,1240
DDX23,1241
DDX24,1242
DDX25,1243
DDX28,1244
DDX39A,1245
DDX3X,1246
DDX42,1247
DDX46,1248
DDX5,1249
DDX56,1250
DDX58,1251
DDX6,1252
DECR1,1253
DECR2,1254
DEK,1255
DENND1A,1256
DENND3,1257
DENND4B,1258
DENND4C,1259
DENND5A,1260
DENND5B,1261
DENND6B,1262
DENR,1263
DEPDC5,1264
DEPTOR,1265
DERA,1266
DES,1267
DESI1,1268
DFFA,1269
DGKA,1270
DGKB,1271
DGKD,1272
DGKE,1273
DGKG,1274
DGKH,1275
DGKI,1276
DGKQ,1277
DGKZ,1278
DGUOK,1279
DHCR24,1280
DHRS7,1281
DHRS7B,1282
DHX15,1283
DHX29,1284
DHX30,1285
DHX38,1286
DHX8,1287
DHX9,1288
DIABLO,1289
DIAPH1,1290
DIAPH2,1291
DICER1,1292
DIP2A,1293
DIP2B,1294
DIP2C,1295
DIRAS1,1296
DIRAS2,1297
DIS3,1298
DIS3L2,1299
DIXDC1,1300
DKC1,1301
DKK3,1302
DLAT,1303
DLC1,1304
DLD,1305
DLG1,1306
DLG2,1307
DLG3,1308
DLG4,1309
DLGAP1,1310
DLGAP2,1311
DLGAP3,1312
DLGAP4,1313
DLST,1314
DMD,1315
DMTN,1316
DMWD,1317
DMXL1,1318
DMXL2,1319
DNAH2,1320
DNAH8,1321
DNAH9,1322
DNAJA1,1323
DNAJA2,1324
DNAJA3,1325
DNAJA4,1326
DNAJB1,1327
DNAJB11,1328
DNAJB14,1329
DNAJB2,1330
DNAJB4,1331
DNAJB6,1332
DNAJC10,1333
DNAJC11,1334
DNAJC12,1335
DNAJC13,1336
DNAJC16,1337
DNAJC17,1338
DNAJC19,1339
DNAJC3,1340
DNAJC30,1341
DNAJC5,1342
DNAJC5B,1343
DNAJC6,1344
DNAJC7,1345
DNAJC8,1346
DNAL1,1347
DNAL4,1348
DNASE2,1349
DNM1,1350
DNM1L,1351
DNM2,1352
DNM3,1353
DNMT1,1354
DNPEP,1355
DNPH1,1356
DOC2A,1357
DOC2B,1358
DOCK1,1359
DOCK10,1360
DOCK2,1361
DOCK3,1362
DOCK4,1363
DOCK5,1364
DOCK9,1365
DOHH,1366
DOPEY2,1367
DPAGT1,1368
DPH1,1369
DPM1,1370
DPM3,1371
DPP10,1372
DPP3,1373
DPP6,1374
DPP8,1375
DPP9,1376
DPY19L1,1377
DPYSL2,1378
DPYSL3,1379
DPYSL4,1380
DPYSL5,1381
DR1,1382
DRAP1,1383
DRG1,1384
DRG2,1385
DSC2,1386
DSCAML1,1387
DSCR3,1388
DST,1389
DSTN,1390
DTNA,1391
DTNB,1392
DTNBP1,1393
DTX3,1394
DTYMK,1395
DUS2,1396
DUSP14,1397
DUSP19,1398
DUSP26,1399
DUSP3,1400
DYNC1H1,1401
DYNC1I1,1402
DYNC1I2,1403
DYNC1LI1,1404
DYNC1LI2,1405
DYNLL1,1406
DYNLL2,1407
DYNLRB1,1408
DYNLRB2,1409
DYNLT1,1410
DYNLT3,1411
DYRK1A,1412
DYRK2,1413
DYSF,1414
DZIP3,1415
EARS2,1416
EBAG9,1417
ECE1,1418
ECH1,1419
ECHDC1,1420
ECHS1,1421
ECSIT,1422
EDC3,1423
EDC4,1424
EDF1,1425
EDIL3,1426
EEA1,1427
EEF1A1,1428
EEF1A2,1429
EEF1B2,1430
EEF1D,1431
EEF1E1,1432
EEF1G,1433
EEF2,1434
EEPD1,1435
EFHD1,1436
EFHD2,1437
EFNB1,1438
EFNB2,1439
EFNB3,1440
EFR3A,1441
EFR3B,1442
EFTUD1,1443
EFTUD2,1444
EGFR,1445
EHBP1,1446
EHD1,1447
EHD2,1448
EHD3,1449
EHD4,1450
EI24,1451
EIF1,1452
EIF1AD,1453
EIF1AX,1454
EIF2A,1455
EIF2AK2,1456
EIF2B1,1457
EIF2B2,1458
EIF2B3,1459
EIF2B5,1460
EIF2S1,1461
EIF2S2,1462
EIF2S3,1463
EIF3A,1464
EIF3B,1465
EIF3C,1466
EIF3D,1467
EIF3E,1468
EIF3F,1469
EIF3G,1470
EIF3H,1471
EIF3I,1472
EIF3J,1473
EIF3K,1474
EIF3L,1475
EIF3M,1476
EIF4A1,1477
EIF4A2,1478
EIF4A3,1479
EIF4B,1480
EIF4E,1481
EIF4E3,1482
EIF4EBP2,1483
EIF4ENIF1,1484
EIF4G2,1485
EIF4G3,1486
EIF5,1487
EIF5A2,1488
EIF5B,1489
ELAC2,1490
ELAVL1,1491
ELAVL2,1492
ELAVL3,1493
ELFN1,1494
ELFN2,1495
ELL3,1496
ELMO1,1497
ELMOD1,1498
ELMOD2,1499
ELOVL1,1500
ELP4,1501
EMB,1502
EMC1,1503
EMC2,1504
EMC4,1505
EMC7,1506
EMC8,1507
EMD,1508
EMG1,1509
EMILIN1,1510
EML2,1511
EML3,1512
EML6,1513
ENC1,1514
ENDOD1,1515
ENDOG,1516
ENG,1517
ENO1,1518
ENO2,1519
ENO3,1520
ENPP2,1521
ENPP6,1522
ENSA,1523
